Name;Name Short;Type;Type2;Pool;Pool2;Tier;Attack;Health;Text;Attack Golden;Health Golden;Text Golden;Token;Battlecry;Deathrattle;Taunt;Divine Shield;Windfury;Venomous;Reborn;Avenge;Magnetic;Spellcraft;Blizzard ID;Summon ID;Picture Link;Artist;Flavor;Active;Duos only
Dozy Whelp;Dozy;Dragon;;Dragon;;1;0;4;Taunt. Whenever this is attacked, gain +1 Attack permanently.;0;8;Taunt. Whenever this is attacked, gain +2 Attack permanently.;;;;1;;;;;;;;BG24_300;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_300.png;;;;
Dune Dweller;Dweller;Elemental;;Elemental;;1;3;2;Battlecry: Elementals in the Tavern have +1/+1 this game.;6;4;Battlecry: Elementals in the Tavern have +2/+2 this game.;;;;;;;;;;;;BG31_815;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_815.png;;;1;
Emerald Proto-Whelp;Whelp;Dragon;;Dragon;;1;0;4;At the end of your turn, gain +1 Attack;0;8;At the end of your turn, gain +2 Attack;;;;;;;;;;;;BG28_590;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_590.png;;;;
Evolving Chromawing;Chromawing;Dragon;;Dragon;;1;1;4;After you upgrade your Tavern Tier, gain +1 Attack for each friendly Dragon.;2;8;After you upgrade your Tavern Tier, gain +2 Attack for each friendly Dragon.;;;;;;;;;;;;BG21_027;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_027.png;;;;
Glim Guardian;Guardian;Dragon;;Dragon;;1;1;4;Whenever this attacks, gain +2/+1.;2;8;Whenever this attacks, gain +4/+2.;;;;;;;;;;;;BG29_888;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG29_888.png;;;;
Harmless Bonehead;Bonehead;Undead;;Undead;;1;1;1;Deathrattle: Summon two 1/1 Skeletons.;2;2;Deathrattle: Summon two 2/2 Skeletons.;;;1;;;;;;;;;BG28_300;BG_ICC_026t;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_300.png;;;1;
Icky Imp;Imp;Demon;;Demon;;1;1;1;Deathrattle: Summon two 1/1 Imps.;2;2;Deathrattle: Summon two 2/2 Imps.;;;1;;;;;;;;;BG21_029;BRM_006t;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_029.png;;;;
Imprisoner;Imprisoner;Demon;;Demon;;1;3;2;Taunt Deathrattle: Summon a 1/1 Imp.;6;4;Taunt Deathrattle: Summon a 2/2 Imp.;;;1;1;;;;;;;;BGS_014;BRM_006t;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_014.png;;;;
Incorporeal Corporal;Corporal;Undead;;Undead;;1;5;5;After this minion attacks, destroy it.;10;10;After this minion attacks, destroy it.;;;;;;;;;;;;BG26_RLK_117;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_RLK_117.png;;;;
Kindly Grandmother;Grandmother;Beast;;Beast;;1;1;1;Deathrattle: Summon a 3/2 Big Bad Wolf.;2;2;Deathrattle: Summon a 6/4 Big Bad Wolf.;;;1;;;;;;;;;BG_KAR_005;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_KAR_005.png;;;;
Lullabot;Lulla;Mech;;Mech;;1;2;2;Magnetic At the end of your turn, gain +1 Health.;4;4;Magnetic At the end of your turn, gain +2 Health.;;;;;;;;;;1;;BG26_146;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_146.png;Grafit;;1;
Manasaber;Saber;Beast;;Beast;;1;4;1;Deathrattle: Summon two 0/1 Cublings with Taunt.;8;2;Deathrattle: Summon two 0/2 Cublings with Taunt.;;;1;;;;;;;;;BG26_800;BG26_800t;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_800.png;Jakub Kasper;;1;
Micro Mummy;Mummy;Undead;Mech;Undead;Mech;1;1;2;Reborn At the end of your turn, give another random friendly minion +1 Attack.;2;4;Reborn At the end of your turn, give another random friendly minion +2 Attack.;;;;;;;;1;;;;BG_ULD_217;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_ULD_217.png;Matt Dixon;The dramatically detailed terrifically trimmed replica of the real thing!;;
Mini-Myrmidon;Mini;Naga;;Naga;;1;1;3;Spellcraft: Give a minion +2 Attack until next turn.;2;6;Spellcraft: Give a minion +4 Attack until next turn.;;;;;;;;;;;1;BG23_000;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG23_000.png;;;;
Misfit Dragonling;Misfit;Dragon;;Dragon;;1;2;1;Start of Combat: Gain stats equal to your Tier.;4;2;Start of Combat: Gain stats equal to your Tier.;;;;;;;;;;;;BG29_814;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG29_814.png;;;1;
Mistake;Mistake;All;;All;;1;1;3;This has all minion types.;2;6;This has all minion types.;;;;;;;;;;;;BG_NX2_050;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_NX2_050.png;Matt Dixon;We like to think of it as a happy accident.;;
Molten Rock;Rock;Elemental;;Elemental;;1;3;3;Taunt. After you play an Elemental, gain +1 Health.;6;6;Taunt. After you play an Elemental, gain +2 Health.;;;;1;;;;;;;;BGS_127;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_127.png;;;1;
Ominous Seer;Seer;Demon;;Demon;;1;2;1;Battlecry: The next Tavern spell you buy costs (1) less.;4;2;Battlecry: The next Tavern spell you buy costs (2) less.;;1;;;;;;;;;;BG31_330;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_330.png;;;1;
Passenger;Passenger;;;All;;1;2;2;The first time your team Passes each turn, gain +1/+2.;4;4;The first time your team Passes each turn, gain +2/+4.;;;;;;;;;;;;BGDUO_114;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGDUO_114.png;;;1;1
Picky Eater;Eater;Demon;;Demon;;1;1;1;Battlecry: Consume a random minion in the Tavern to gain its stats.;2;2;Battlecry: Consume a random minion in the Tavern to gain double its stats.;;1;;;;;;;;;;BG24_009;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_009.png;;;1;
Pupbot;Pupbot;Mech;;Mech;;1;2;1;Divine Shield;4;2;Divine Shield;;;;;1;;;;;;;BG21_022;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_022.png;;;;
Razorfen Geomancer;Razorfen Geomancer;Quilboar;;Quilboar;;1;3;1;Battlecry: Gain a Blood Gem.;6;2;Battlecry: Gain 2 Blood Gems.;;1;;;;;;;;;;BG20_100;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG20_100.png;;;1;
Red Whelp;Whelp;Dragon;;Dragon;;1;2;2;Start of Combat: Deal 1 damage per friendly Dragon to one random enemy minion.;4;4;Start of Combat: Deal 1 damage per friendly Dragon to one random enemy minion twice.;;;;;;;;;;;;BGS_019;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_019.png;;;;
Risen Rider;Rider;Undead;;Undead;;1;2;1;Taunt Reborn;4;2;Taunt Reborn;;;;1;;;;1;;;;BG25_001;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_001.png;;;1;
Rockpool Hunter;Rockpool;Murloc;;Murloc;;1;2;3;Battlecry: Give a friendly Murloc +1/+1.;4;6;Battlecry: Give a friendly Murloc +2/+2.;;1;;;;;;;;;;UNG_073;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/UNG_073.png;Alex Horley Orlandelli;Loves crab meat. Fears crabs.;;
Rot Hide Gnoll;Gnoll;Undead;;Undead;;1;1;4;Has +1 Attack for each friendly minion that died this combat.;2;8;Has +2 Attack for each friendly minion that died this combat.;;;;;;;;;;;;BG25_013;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_013.png;;;;
Saltscale Honcho;Honcho;Murloc;;Murloc;;1;3;3;After you play a Murloc, give a friendly Murloc other than it +1 Health.;6;6;After you play a Murloc, give a friendly Murloc other than it +2 Health.;;;;;;;;;;;;BG21_008;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_008.png;;;;
Scallywag;Scally;Pirate;;Pirate;;1;3;1;Deathrattle: Summon a 1/1 Pirate. It attacks immediately.;6;2;Deathrattle: Summon a 2/2 Pirate. It attacks immediately.;;;1;;;;;;;;;BGS_061;BGS_061t;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_061.png;;;1;
Scavenging Hyena;Hyena;Beast;;Beast;;1;2;2;Whenever a friendly Beast dies, gain +2/+1.;4;4;Whenever a friendly Beast dies, gain +4/+2.;;;;;;;;;;;;EX1_531;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/EX1_531.png;Jim Nelson;Hyenas prefer the bones of kodos or windserpents, but they'll eat pretty much anything. Even Brussels sprouts.;;
Silverback Patriarch;Patriarch;Beast;;Beast;;1;1;4;Taunt;2;8;Taunt;;;;1;;;;;;;;BG_CS2_127;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_CS2_127.png;Daren Bader;;;
Snail Cavalry;Snail;Naga;;Naga;;1;2;2;Once per turn, after you cast a spell, gain +1/+1.;4;4;Once per turn, after you cast a spell, gain +2/+2.;;;;;;;;;;;;BG23_001;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG23_001.png;;;;
Southsea Busker;Busker;Pirate;;Pirate;;1;3;1;Battlecry: Gain 1 Gold next turn.;6;2;Battlecry: Gain 2 Gold next turn.;;1;;;;;;;;;;BG26_135;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_135.png;BOSi Studio;;1;
Sun-Bacon Relaxer;SBR;Quilboar;;Quilboar;;1;2;3;When you sell this, get 2 Blood Gems.;4;6;When you sell this, get 4 Blood Gems.;;;;;;;;;;;;BG20_301;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG20_301.png;;;1;
Surf n' Surf;Surf;Naga;Beast;Naga;Beast;1;1;1;Spellcraft: Give a minion "Deathrattle: Summon a 3/2 Crab" until next turn.;2;2;Spellcraft: Give a minion "Deathrattle: Summon a 6/4 Crab" until next turn.;;;;;;;;;;;1;BG27_004;BG27_004t2;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_004.png;;;;
Swampstriker;Striker;Murloc;;Murloc;;1;1;5;Windfury After you summon a Murloc, gain +1 Attack.;2;10;Windfury After you summon a Murloc, gain +2 Attack.;;;;;;1;;;;;;BG22_401;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG22_401.png;;;1;
Tavern Tipper;Tipper;;;All;;1;2;2;If you have any unspent Gold at the end of your turn, gain +1/+2.;4;4;If you have any unspent Gold at the end of your turn, gain +2/+4.;;;;;;;;;;;;BG23_352;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG23_352.png;;;;
Thorncaptain;Thorny;Quilboar;Pirate;Quilboar;Pirate;1;4;2;After a card is added to your hand, gain +1 Health until next turn.;8;4;After a card is added to your hand, gain +2 Health until next turn.;;;;;;;;;;;;BG25_045;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_045.png;;;;
Trusty Pup;Pup;Beast;;Beast;;1;1;3;Whenever this takes damage, gain +1 Attack permanently.;2;6;Whenever this takes damage, gain +2 Attack permanently.;;;;;;;;;;;;BG29_800;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG29_800.png;;;;
Upbeat Frontdrake;Frontdrake;Dragon;;Dragon;;1;1;1;At the end of every 3 turns, get another random Dragon. (3 turns left!);2;2;At the end of every 3 turns, get 2 other random Dragons. (3 turns left!);;;;;;;;;;;;BG26_529;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_529.png;Ramzy Kamen;;1;
Wrath Weaver;Weaver;;;Demon;;1;1;4;After you play a Demon, deal 1 damage to your hero and gain +2/+1.;2;8;After you play a Demon, deal 1 damage to your hero and gain +2/+1, twice.;;;;;;;;;;;;BGS_004;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_004.png;;;1;
Acolyte of C'Thun;Acolyte;;;All;;2;2;3;Taunt Reborn;4;6;Taunt Reborn;;;;1;;;;1;;;;BGS_106;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_106.png;;;;
Ancestral Automaton;Automaton;Mech;;Mech;;2;2;4;Has +2/+2 for each other Ancestral Automaton you've summoned this game (wherever this is).;4;8;Has +4/+4 for each other Ancestral Automaton you've summoned this game (wherever this is).;;;;;;;;;;;;BG_TTN_401;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_TTN_401.png;;;1;
Bejeweled Duelist;Duelist;Elemental;;Elemental;;2;3;4;Taunt. Whenever you Refresh, gain +1 Health.;6;8;Taunt. Whenever you Refresh, gain +2 Health.;;;;1;;;;;;;;BG27_020;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_020.png;;;;
Blazing Skyfin;Skyfin;Murloc;Dragon;Murloc;Dragon;2;2;4;After you trigger a Battlecry, gain +1/+1.;4;8;After you trigger a Battlecry, gain +2/+2.;;;;;;;;;;;;BG25_040;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_040.png;;;;
Briarback Bookie;Bookie;Quilboar;;Quilboar;;2;3;3;At the end of your turn, get a Blood Gem.;6;6;At the end of your turn, get 2 Blood Gems.;;;;;;;;;;;;BG27_028;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_028.png;;;;
Bronze Sandspewer;Sandspewer;Dragon;;Dragon;;2;1;1;Divine Shield. If you have 7 minions at the end of your turn, gain +2/+1.;2;2;Divine Shield. If you have 7 minions at the end of your turn, gain +4/+2.;;;;;1;;;;;;;BG28_593;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_593.png;;;;
Cogwork Copter;Copter;Mech;;Mech;;2;1;1;Divine Shield After a friendly minion loses Divine Shield, give a minion in your hand +1/+1.;2;2;Divine Shield After a friendly minion loses Divine Shield, give a minion in your hand +2/+2.;;;;;1;;;;;;;BG24_008;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_008.png;;;;
Coldlight Seer;Coldlight;Murloc;;Murloc;;2;2;3;Battlecry: Give your other Murlocs +2 Health.;4;6;Battlecry: Give your other Murlocs +4 Health.;;1;;;;;;;;;;EX1_103;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/EX1_103.png;Arthur Gimaldinov;The Coldlight murlocs reside in the darkest pits of the Abyssal Depths. So no, there's no getting away from murlocs.;;
Corpse Recycler;Recycler;Undead;;Undead;;2;2;3;Avenge (4): This minion sells for 1 more Gold.;4;6;Avenge (4): This minion sells for 2 more Gold.;;;;;;;;;1;;;BG31_357;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_357.png;;;;
Corpse Refiner;Refiner;Undead;Pirate;Undead;Pirate;2;2;3;Avenge (4): This minion sells for 1 more Gold.;4;6;Avenge (4): This minion sells for 2 more Gold.;;;;;;;;;1;;;BG25_033;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_033.png;;;;
Crackling Cyclone;Cyclone;Elemental;;Elemental;;2;5;1;Divine Shield Windfury;10;2;Divine Shield Windfury;;;;;1;1;;;;;;BGS_119;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_119.png;;;;
Crater Miner;Miner;Quilboar;;Quilboar;;2;2;2;"Choose One - Get 2 Blood Gems; or Get a random 1-Cost Tavern spell.";4;4;"Choose One - Get 4 Blood Gems; or Get 2 random 1-Cost Tavern spells.";;;;;;;;;;;;BG31_320;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_320.png;;;1;
Defiant Shipwright;Shipwright;Pirate;;Pirate;;2;2;5;Whenever this gains Attack, gain +1 Health permanently.;4;10;Whenever this gains Attack, gain +2 Health permanently.;;;;;;;;;;;;BG21_018;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_018.png;;;1;
Electric Synthesizer;Synthesizer;Dragon;;Dragon;;2;2;3;Battlecry and Start of Combat: Give your other Dragons +1/+1.;4;6;Battlecry and Start of Combat: Give your other Dragons +2/+2.;;1;;;;;;;;;;BG26_963;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_963.png;;;1;
Eternal Knight;Knight;Undead;;Undead;;2;5;1;Has +1/+1 for each friendly Eternal Knight that died this game (wherever this is).;10;2;Has +2/+2 for each friendly Eternal Knight that died this game (wherever this is).;;;;;;;;;;;;BG25_008;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_008.png;;;1;
Fire Baller;Fire;Elemental;;Elemental;;2;4;3;When you sell this, give your minions +1 Attack. Improve your future Ballers.;8;6;When you sell this, give your minions +2 Attack. Improve your future Ballers.;;;;;;;;;;;;BG31_816;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_816.png;;;1;
Fire Dancer;Dancer;;;All;;2;6;3;Deathrattle: Deal 1 damage to all minions.;12;6;Deathrattle: Deal 1 damage to all minions twice.;;;1;;;;;;;;;BG29_843;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG29_843.png;;;;
Forest Rover;Rover;Beast;;Beast;;2;3;2;Battlecry: Your Beetles have +1/+1 this game. 
Deathrattle: Summon a 2/2 Beetle.;6;4;Battlecry: Your Beetles have +4/+2 this game. 
Deathrattle: Summon two 2/2 Beetles.;;1;1;;;;;;;;;BG31_801;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_801.png;;;1;
Frantic Alarm-o-Bot;Alarm-o-Bot;Mech;;Mech;;2;4;4;Magnetic Windfury;8;8;Magnetic Windfury;;;;;;;;;;1;;BG31_170;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_170.png;;;1;
Free Travel Winner;Winner;;;All;;2;2;2;At the start of your turn, if this minion survived last combat, remove this and get a Triple Reward.;4;4;At the start of your turn, if this minion survived last combat, remove this and get 2 Triple Rewards.;;;;;;;;;;;;BG30_103;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG30_103.png;;;;
Freedealing Gambler;Gambler;Pirate;;Pirate;;2;3;3;This minion sells for 3 Gold.;6;6;This minion sells for 6 Gold.;;;;;;;;;;;;BGS_049;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_049.png;;;1;
Friendly Saloonkeeper;Saloonkeeper;;;All;;2;3;4;Battlecry: Your teammate gets a Gold Coin.;6;8;Battlecry: Your teammate gets 2 Gold Coins.;;1;;;;;;;;;;BGDUO_104;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGDUO_104.png;;;1;1
Gathering Stormer;Stormer;Elemental;;Elemental;;2;5;1;When you sell this, your teammate gains 1 Gold. (Upgrades each turn!);10;2;When you sell this, your teammate gains 1 Gold. (Upgrades each turn!);;;;;;;;;;;;BGDUO31_201;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGDUO31_201.png;;;1;1
Generous Geomancer;Geomancer;Quilboar;;Quilboar;;2;1;1;Deathrattle: You and your teammate each get a Blood Gem.;2;2;Deathrattle: You and your teammate each get 2 Blood Gems.;;;1;;;;;;;;;BGDUO_111;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGDUO_111.png;;;1;1
Gift Pilferer;Pilferer;Pirate;;Pirate;;2;2;3;Upgrading the Tavern costs (1) less.;4;6;Upgrading the Tavern costs (2) less.;;;;;;;;;;;;BG30_118;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG30_118.png;;;;
Glyph Guardian;Guardian;Dragon;;Dragon;;2;2;4;Whenever this attacks, double its Attack.;4;8;Whenever this attacks, triple its Attack.;;;;;;;;;;;;BGS_045;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_045.png;;;;
Grave Gobbler;Gobbler;Undead;;Undead;;2;4;3;At the start of your turn, destroy the Undead to the left of this to gain +5/+5.;8;6;At the start of your turn, destroy the Undead to the left of this to gain +10/+10.;;;;;;;;;;;;BG28_302;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_302.png;;;;
Harvest Golem;Golem;Mech;;Mech;;2;2;3;Deathrattle: Summon a 2/1 Damaged Golem.;4;6;Deathrattle: Summon a 4/2 Damaged Golem.;;;1;;;;;;;;;EX1_556;skele21;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/EX1_556.png;Brian Despain;"Overheat threshold exceeded. System failure. Wheat clog in port two. Shutting down.";;
Humming Bird;Bird;Beast;;Beast;;2;1;4;Start of Combat: For the rest of this combat, your Beasts have +1 Attack.;2;8;Start of Combat: For the rest of this combat, your Beasts have +2 Attack.;;;;;;;;;;;;BG26_805;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_805.png;Gabriel Lopes;;1;
Hungry Snapjaw;Snapjaw;Beast;;Beast;;2;5;2;After you summon a Beast, gain +1 Health permanently.;10;4;After you summon a Beast, gain +2 Health permanently.;;;;;;;;;;;;BG26_370;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_370.png;;;1;
Impulsive Trickster;Trickster;Demon;;Demon;;2;3;3;Deathrattle: Give this minion's maximum Health to another friendly minion.;6;6;Deathrattle: Give this minion's maximum Health to another friendly minion twice.;;;1;;;;;;;;;BG21_006;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_006.png;;;1;
Invent-o-Matic;Invento;Mech;;Mech;;2;2;3;Whenever you Magnetize a minion, give it +1/+1.;4;6;Whenever you Magnetize a minion, give it +2/+2.;;;;;;;;;;;;BG_TTN_732;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_TTN_732.png;;;;
Irate Rooster;Rooster;Beast;;Beast;;2;3;4;Start of Combat: Deal 1 damage to adjacent minions and give them +4 Attack.;6;8;Start of Combat: Deal 1 damage to adjacent minions and give them +4 Attack, twice.;;;;;;;;;;;;BG29_990;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG29_990.png;;;;
Kaboom Bot;Kaboom;Mech;;Mech;;2;2;2;Deathrattle: Deal 4 damage to a random enemy minion.;4;4;Deathrattle: Deal 4 damage to a random enemy minion twice.;;;1;;;;;;;;;BOT_606;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BOT_606.png;Tyler West Studio;More Boom for your buck.;;
Kooky Chemist;Kooky;;;All;;2;4;4;Battlecry: Swap the Attack and Health of a minion.;8;8;Battlecry: Swap the Attack and Health of a minion.;;1;;;;;;;;;;BG_CFM_063;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_CFM_063.png;Dave Allsop;;;
Lava Lurker;Lurker;Naga;;Naga;;2;2;5;The first Spellcraft enchantment on this each turn is permanent.;4;10;The first two Spellcraft enchantments on this each turn are permanent.;;;;;;;;;;;;BG23_009;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG23_009.png;;;1;
Leapfrogger;Leaper;Beast;;Beast;;2;3;3;Deathrattle: Give a friendly Beast +1/+1 and this Deathrattle.;6;6;Deathrattle: Give a friendly Beast +2/+2 and this Deathrattle.;;;1;;;;;;;;;BG21_000;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_000.png;;;;
Low-Flier;Flier;Dragon;;Dragon;;2;3;2;At the end of your turn, give +1 Attack to all your minions with less Attack than this.;6;4;At the end of your turn, give +2 Attack to all your minions with less Attack than this.;;;;;;;;;;;;BG26_969;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_969.png;Hideaki Takamura;;1;
Mechagnome Interpreter;Interpreter;Mech;;Mech;;2;2;3;Whenever you play a Magnetic minion, give it +2/+3.;4;6;Whenever you play a Magnetic minion, give it +4/+6.;;;;;;;;;;;;BG31_177;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_177.png;;;1;
Menagerie Mug;Mug;;;All;;2;2;2;Battlecry: Give 3 random friendly minions of different minion types +1/+1.;4;4;Battlecry: Give 3 random friendly minions of different minion types +2/+2.;;1;;;;;;;;;;BGS_082;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_082.png;;;;
