Name;Text;Blizzard ID;Picture link;Active
Double-Headed Reward;The first time you buy a card each turn, get an extra copy of it.;BG28_Reward_506;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_506.png;
Endless Blood Moon;Your Blood Gems give an extra +2/+2. At the start of your turn, add two to your hand.;BG27_Reward_815;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_815.png;
Enhance-a-matic;At the start of your turn, get an Enhanced Part that gives +5/+5 and a random bonus.;BG24_Reward_715;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_715.png;
Essence of Zerus;At the end of your turn, get a 'Shifter Zerus' which transforms into random minions.;BG24_Reward_362;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_362.png;
Ethereal Evidence;At the start of every turn, choose from 2 new Rewards.;BG24_Reward_363;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_363.png;
Evil Twin;Start of Combat: Summon a copy of your highest-Health minion.;BG24_Reward_111;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_111.png;
Ghastly Mask;Add 'another card' to your hand. Your end of turn effects trigger an extra time.;BG24_Reward_130;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_130.png;
Gift of the Golden Kobold;After you Refresh 5 times, make the highest Tier minion in the Tavern Golden.;BG28_Reward_508;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_508.png;
Gilnean War Horn;Add [a specified "Battlecry" minion] to your hand. Your Battlecries trigger an extra time.;BG27_Reward_802;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_802.png;
Hidden Treasure Vault;At the start of your turn, gain 1 Gold. (Upgrades each turn!);BG24_Reward_361;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_361.png;
Ice Sickle;Avenge (1): Give a minion in your hand +3 Attack. ;BG27_Reward_800;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_800.png;
Invigorating Conch;When you buy a minion, give its stats to a random friendly minion.;BG27_Reward_503;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_503.png;
Kidnap Sack;Spellcraft: Choose a non-Golden minion. Add it to your hand.;BG24_Reward_718;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_718.png;
Map of the Unknown;After you play a minion of a type you don't control, give a friendly minion of each type +2/+1.;BG27_Reward_810;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_810.png;
Menagerie Mayhem;At the end of your turn, give your minions +1 Attack for each friendly minion type.;BG24_Reward_331;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_331.png;
Mirror Shield;After each Refresh, give a minion in Bob's Tavern +6/+6 and Divine Shield.;BG24_Reward_128;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_128.png;
Open Auditions;At the start of your turn, Discover a Buddy.;BG28_Reward_513;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_513.png;
Partner in Crime;Get your Golden Buddy.;BG24_Reward_310;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_310.png;
Pilfered Lamps;You only need 2 copies of a minion to make it Golden.;BG24_Reward_350;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_350.png;
Red Hand;At the start of your turn, give a minion in your hand +12/+12.;BG24_Reward_131;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_131.png;
Ritual Dagger;After a friendly Deathrattle minion dies, give it +5/+5 permanently.;BG24_Reward_113;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_113.png;
Scepter of Guidance;Bob's Tavern always offers 2 [randomly selected type] when Refreshed.;BG27_Reward_812;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_812.png;
Secret Culprit;Get [a particular Tier 7 minion].;BG28_Reward_510;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_510.png;
Secret Sinstone;After you Discover a card, get an extra copy of it.;BG24_Reward_129;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_129.png;
Sinfall Medallion;After you play a minion, give 2 other friendly minions of its Tavern Tier +4/+4.;BG24_Reward_712;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_712.png;
Snicker Snacks;At the end of your turn, 2 friendly minions trigger their Battlecries.;BG24_Reward_107;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_107.png;
Soul Pact;After you play a minion, give other minions of the same type +1/+1. ;BG27_Reward_808;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_808.png;
Splitting Scroll;Whenever you buy a Tavern spell that costs (3) or more, get an extra copy of it.;BG28_Reward_502;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_502.png;
Stable Amalgamation;Avenge (7): When you have space, summon a 50/50 Amalgam.;BG28_Reward_518;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_518.png;
Staff of Origination;Start of Combat: Give your minions +12/+12.;BG24_Reward_312;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_312.png;
Stash of the Scribe;At the start of each turn, get 3 random Tavern spells.;BG28_Reward_515;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_515.png;
Stolen Gold;Start of Combat: Make your left and right-most minions Golden.;BG24_Reward_109;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_109.png;
Sturdy Shard;At the end of your turn, give your minions without Taunt +1/+2 for each Taunt minion you control.;BG27_Reward_804;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_804.png;
Teal Tiger Sapphire;Minions in Bob's Tavern have +1/+1 for each time it was Refreshed this turn.;BG24_Reward_308;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_308.png;
Temporal Tampering;Your Tavern spells cast twice.;BG28_Reward_501;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_501.png;
The Friends Along the Way;At the start of your turn, get 2 random [specified minion type].;BG24_Reward_134;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_134.png;
The Golden Hammer;Spellcraft: Make a friendly minion Golden until next turn.;BG24_Reward_719;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_719.png;
The Smoking Gun;Your minions have +4 Attack.;BG24_Reward_125;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_125.png;
Theotar's Parasol;At the end of your turn, give your right-most minion Stealth until next turn and +8 Health.;BG24_Reward_115;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_115.png;
Timeline Acceleration;At the start of your turn, get two Accelerators that transform a minion into one from a Tavern Tier higher.;BG27_Reward_504;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_504.png;
Tiny Henchmen;At the end of your turn, give +3/+3 to 3 friendly minions of Tier 3 or lower.;BG24_Reward_136;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_136.png;
Transm-ogre-fication;At the end of your turn, set your lowest Health minion's stats equal to your highest Health minion's stats.;BG27_Reward_814;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_814.png;
Tumbling Disaster;Whenever you summon a minion in combat, give it +1/+1. Avenge (4): Upgrade this permanently.;BG28_Reward_505;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_505.png;
Turbulent Tombs;Add [a specified "Deathrattle" minion] to your hand. Your Deathrattles trigger an extra time.;BG27_Reward_803;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_803.png;
Victim's Specter;After each combat, get a plain copy of the last friendly minion that died.;BG24_Reward_138;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_138.png;
Volatile Venom;Your minions have +7/+7. After they attack, they die. Horribly.;BG24_Reward_364;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_364.png;
Wondrous Wisdomball;Occasionally gives helpful Refreshes.;BG24_Reward_313;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_313.png;
Yogg-tastic Tasties;At the start of your turn, spin the Wheel of Yogg-Saron.;BG24_Reward_135;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_135.png;
